ZaporednaStevilkaKD;MesecStoritve;UraStoritve;DanVTednu;PUStoritveKD;Povratnik;OpisKD;PoglavjeKD;GospodarskiKriminal;OrganiziranKriminal;MladoletniskaKriminaliteta;Poskus;KriminalisticnaOznacba1;KriminalisticnaOznacba2;KriminalisticnaOznacba3;UporabljenoSredstvo1;UporabljenoSredstvo2;UporabljenoSredstvo3;UporabljenoSredstvo4;UpravnaEnotaStoritve;OpisKraja;LetoZakljucnegaDokumenta;VrstaZakljucnegaDokumenta;ZaporednaStevilkaOsebeVKD;VrstaOsebe;StarostniRazred;Spol;Drzavljanstvo;Poskodba;VplivAlkohola;VplivMamil;OrganiziranaZdruzba;Skoda
000154;12.2014;23:00-23:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/235*/2// - PONAREDITEV ALI UNIÈENJE POSLOVNIH LISTIN;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRI OPRAVLJANJU STORITEV - O;;;259-POSLOVNE LISTINE;;;;GORNJA RADGONA;PROSTOR ZA ZDRAVSTVENE STORITVE Z NEPOSRED. OKOLICO (DVORIŠÈE IPD.);2018;POROÈILO;000154001;OSTALO;24-34;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
001005;12.2015;23:00-23:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/235*/2// - PONAREDITEV ALI UNIÈENJE POSLOVNIH LISTIN;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRI OPRAVLJANJU STORITEV - O;;;259-POSLOVNE LISTINE;;;;GORNJA RADGONA;PROSTOR ZA ZDRAVSTVENE STORITVE Z NEPOSRED. OKOLICO (DVORIŠÈE IPD.);2018;POROÈILO;001005001;OSTALO;44-54;ŽENSKI;TUJE;;NE;NE;NE;BREZ
002157;12.2016;23:00-23:59;SOBOTA;PU MURSKA SOBOTA;DA;KZ12/240*/2// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRI DRUGEM FINANÈNEM POSLOVANJU - O;;;048-DENAR;;;;GORNJA RADGONA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;POROÈILO;002157001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100.000 - 500.000 EUR
002655;06.2017;00:00-00:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/240*/1// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRIDOBITEV PREMOŽENJSKE KORISTI - O;;;048-DENAR;;;;GORNJA RADGONA;PROSTOR ZA INDUSTRIJSKO, KMETIJSKO ALI OBRTNO PROIZVODNJO IN STORITVE;2018;OVADBA;002655001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;10.000 - 100.000 EUR
002793;08.2017;07:00-07:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;438-KONOPLJA RASTLINA (BILKA);;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;002793001;OVADENI OSUMLJENEC;44-54;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
002997;09.2017;09:00-09:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;438-KONOPLJA RASTLINA (BILKA);;;;GORNJA RADGONA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
002998;09.2017;11:00-11:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;438-KONOPLJA RASTLINA (BILKA);;;;GORNJA RADGONA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
003093;09.2017;08:00-08:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;POROÈILO;;;;;;;;;;
003102;09.2017;09:00-09:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;GORNJA RADGONA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
003369;03.2017;23:00-23:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/208*/5/G/ - ZATAJITEV;KD ZOPER PREMOŽENJE;GOSPODARSKA; ; ;NE;NAJDENA STVAR - O;PREGON NA PREDLOG - O;;005-APARATI;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;POROÈILO;003369001;ŽRTEV;54-64;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;10.000 - 100.000 EUR
