ZaporednaStevilkaKD;MesecStoritve;UraStoritve;DanVTednu;PUStoritveKD;Povratnik;OpisKD;PoglavjeKD;GospodarskiKriminal;OrganiziranKriminal;MladoletniskaKriminaliteta;Poskus;KriminalisticnaOznacba1;KriminalisticnaOznacba2;KriminalisticnaOznacba3;UporabljenoSredstvo1;UporabljenoSredstvo2;UporabljenoSredstvo3;UporabljenoSredstvo4;UpravnaEnotaStoritve;OpisKraja;LetoZakljucnegaDokumenta;VrstaZakljucnegaDokumenta;ZaporednaStevilkaOsebeVKD;VrstaOsebe;StarostniRazred;Spol;Drzavljanstvo;Poskodba;VplivAlkohola;VplivMamil;OrganiziranaZdruzba;Skoda
000157;06.2015;23:00-23:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/257*/2// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC;KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA;GOSPODARSKA; ; ;NE;POVZROÈENA VEÈJA ŠKODA - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA INDUSTRIJSKO, KMETIJSKO ALI OBRTNO PROIZVODNJO IN STORITVE;2018;POROÈILO;000157001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;NAD 500.000 EUR
000480;12.2015;14:00-14:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/235*/1// - PONAREDITEV ALI UNIÈENJE POSLOVNIH LISTIN;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;VPIS LAŽNIH PODATKOV - O;;;259-POSLOVNE LISTINE;;;;MURSKA SOBOTA;PROSTOR ZA INDUSTRIJSKO, KMETIJSKO ALI OBRTNO PROIZVODNJO IN STORITVE;2018;POROÈILO;000480001;OSTALO;54-64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
000558;11.2016;00:00-00:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/257*/1// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC;KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA;GOSPODARSKA; ; ;NE;PRIZADEJANJE ŠKODE DRUGEMU - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;OSTALO;2018;POROÈILO;000558001;OSTALO;NAD 64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
000697;01.2017;00:00-00:59;TOREK;PU MURSKA SOBOTA;NE;KZ08/209-/1// - PONEVERBA IN NEUPRAVIÈENA UPORABA TUJEGA PREMOŽENJA;KD ZOPER PREMOŽENJE;GOSPODARSKA; ; ;NE;PRI OPRAVLJANJU STORITEV - O;PROTI TUJEMU PREMOŽEJU - O;PRI DRUGEM FINANÈNEM POSLOVANJU - O;048-DENAR;;;;MURSKA SOBOTA;PRODAJNI PROSTOR;2018;OVADBA;000697001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
000796;10.2016;23:00-23:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/257*/3// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC;KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA;GOSPODARSKA; ; ;NE;Z IZRABO URADNEGA POLOŽAJA - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA ZDRAVSTVENE STORITVE Z NEPOSRED. OKOLICO (DVORIŠÈE IPD.);2018;OVADBA;000796001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;BREZ
000832;01.2017;23:00-23:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/227*/1// - OŠKODOVANJE UPNIKOV;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;V ŠKODO JAVNEGA SEKTORJA - O;;;053-DOKUMENTI;;;;MURSKA SOBOTA;OSTALO;2018;OVADBA;000832001;OVADENI OSUMLJENEC;54-64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
001078;08.2016;13:00-13:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/179*/1// - MALOMARNO ZDRAVLJENJE IN OPRAVLJANJE ZDRAVILSKE DEJAVNOSTI;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;MALOMARNOST ZDRAVNIKA - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA ZDRAVSTVENE STORITVE Z NEPOSRED. OKOLICO (DVORIŠÈE IPD.);2018;POROÈILO;001078001;ŽRTEV;NAD 64;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
001511;05.2017;18:00-18:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PRODAJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;OBMOÈJE PROMETA;2018;OVADBA;001511001;OVADENI OSUMLJENEC;24-34;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
001675;09.2013;00:00-00:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/240*/2// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRIDOBITEV PREMOŽENJSKE KORISTI - O;;;195-NEPREMIÈNINE;;;;MURSKA SOBOTA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;OVADBA;001675001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100.000 - 500.000 EUR
002175;07.2015;12:00-12:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/284*/1// - KRIVA IZPOVEDBA;KD ZOPER PRAVOSODJE;SPLOŠNA; ; ;NE;PRED SODIŠÈEM - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR DRŽ. USTANOVE, ORGANA LOKALNE SKUP., POLIT. ALI INTERES. ORG.;2018;POROÈILO;002175001;OSTALO;44-54;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
