ZaporednaStevilkaKD,MesecStoritve,UraStoritve,DanVTednu,PUStoritveKD,Povratnik,OpisKD,PoglavjeKD,GospodarskiKriminal,OrganiziranKriminal,MladoletniskaKriminaliteta,Poskus,KriminalisticnaOznacba1,KriminalisticnaOznacba2,KriminalisticnaOznacba3,UporabljenoSredstvo1,UporabljenoSredstvo2,UporabljenoSredstvo3,UporabljenoSredstvo4,UpravnaEnotaStoritve,OpisKraja,LetoZakljucnegaDokumenta,VrstaZakljucnegaDokumenta,ZaporednaStevilkaOsebeVKD,VrstaOsebe,StarostniRazred,Spol,Drzavljanstvo,Poskodba,VplivAlkohola,VplivMamil,OrganiziranaZdruzba,Skoda,Substanca
000560,2017-09-01 00:00:00,18:00-18:59,SOBOTA,PU MARIBOR,NE,KZ12/123*/1// - HUDA TELESNA POŠKODBA,KD ZOPER ŽIVLJENJE IN TELO,SPLOŠNA, , ,NE,POTENCIALNA NEVARNOST ZA ŽIVLJENJE - O,,,268-PREDMETI IZ LESA,,,,PTUJ,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,POROÈILO,000560001,OVADENI OSUMLJENEC,54-64,MOŠKI,SLOVENSKO,,DA,NN,NE,BREZ,True
003483,2018-06-01 00:00:00,20:00-20:59,NEDELJA,PU NOVO MESTO,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,SPRAVLJANJE V PODREJENI POLOŽAJ - O,PRETEPANJE - O,GRDO RAVNANJE - O,199-NI PREDMETA,,,,ÈRNOMELJ,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,003483001,OSTALO,34-44,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
004962,2018-07-01 00:00:00,22:00-22:59,PETEK,PU CELJE,NE,KZ12/324*/1/1/ - NEVARNA VOŽNJA V CESTNEM PROMETU,KD ZOPER VARNOST JAVNEGA PROMETA,SPLOŠNA, , ,NE,NEPRILAGODITEV HITROSTI - O,VOŽNJA POD VPLIVOM ALKOHOLA - O,,473-OSEBNO VOZILO,,,,CELJE,OBMOÈJE PROMETA,2019,OVADBA,004962001,OSTALO,18-24,MOŠKI,SLOVENSKO,,DA,NN,NE,BREZ,True
009073,2018-12-01 00:00:00,00:00-00:59,SOBOTA,PU CELJE,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,PRETEPANJE - O,BOLEÈE/PONIŽUJOÈE RAVNANJE - O,GRDO RAVNANJE - O,199-NI PREDMETA,,,,VELENJE,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,009073002,OSTALO,34-44,MOŠKI,TUJE,,DA,NE,NE,BREZ,True
009126,2018-12-01 00:00:00,16:00-16:59,SOBOTA,PU CELJE,NE,KZ12/324*/1/1/ - NEVARNA VOŽNJA V CESTNEM PROMETU,KD ZOPER VARNOST JAVNEGA PROMETA,SPLOŠNA, , ,NE,VOŽNJA POD VPLIVOM ALKOHOLA - O,,,473-OSEBNO VOZILO,,,,CELJE,OBMOÈJE PROMETA,2019,OVADBA,009126001,OVADENI OSUMLJENEC,24-34,MOŠKI,SLOVENSKO,,DA,NN,NE,BREZ,True
009643,2018-12-01 00:00:00,02:00-02:59,SOBOTA,PU CELJE,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,PRETEPANJE - O,GRDO RAVNANJE - O,,199-NI PREDMETA,,,,VELENJE,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,009643001,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
015444,2019-01-01 00:00:00,21:00-21:59,PONEDELJEK,PU CELJE,NE,KZ15/135+/2// - GROŽNJA,KD ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE,SPLOŠNA, , ,NE,GROŽNJA Z NAPADOM NA ŽIVLJENJE BLIŽNJE OSEBE - O,PREGON NA PREDLOG - O,,199-NI PREDMETA,,,,ŠENTJUR PRI CELJU,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,015444001,OSTALO,54-64,MOŠKI,SLOVENSKO,,DA,NN,NE,BREZ,True
015651,2019-01-01 00:00:00,16:00-16:59,PONEDELJEK,PU CELJE,NE,KZ12/192*/2// - ZANEMARJANJE MLADOLETNE OSEBE IN SUROVO RAVNANJE,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,PSIHIÈNO NASILJE(TRPINÈENJE) - O,,,199-NI PREDMETA,,,,MOZIRJE,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,015651001,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
015651,2019-01-01 00:00:00,16:00-16:59,PONEDELJEK,PU CELJE,NE,KZ12/192*/2// - ZANEMARJANJE MLADOLETNE OSEBE IN SUROVO RAVNANJE,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,PSIHIÈNO NASILJE(TRPINÈENJE) - O,,,199-NI PREDMETA,,,,MOZIRJE,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,015651002,OVADENI OSUMLJENEC,34-44,ŽENSKI,SLOVENSKO,,DA,NE,NE,BREZ,True
015659,2019-01-01 00:00:00,16:00-16:59,PONEDELJEK,PU CELJE,DA,KZ12/192*/1// - ZANEMARJANJE MLADOLETNE OSEBE IN SUROVO RAVNANJE,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,FIZIÈNO NASILJE(SUROVO RAVNANJE) - O,,,199-NI PREDMETA,,,,MOZIRJE,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,015659001,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
