Občina,Km2,Prebivalci,Preb/km2,Naselja,Leto,Pokrajina,Statistična regija,Odcepitev od občine
Ajdovščina,"245,2",19418,79,45,1994,Primorska,Goriška,Ajdovščina
Ankaran,"8,0",3224,403,1,2011,Primorska,Obalno-kraška,Koper
Apače,"53,5",3533,66,21,2006,Štajerska,Pomurska,Gornja Radgona
Beltinci,"62,2",8059,130,8,1994,Prekmurje,Pomurska,Murska Sobota
Benedikt,"24,1",2615,108,14,1998,Štajerska,Podravska,Lenart
Bistrica ob Sotli,"31,1",1336,43,11,1998,Štajerska,Savinjska,Podčetrtek
Bled,"72,3",7868,109,10,1994,Gorenjska,Gorenjska,Radovljica
Bloke,"75,1",1563,21,45,1998,Notranjska,Primorsko-notranjska,Loška dolina
Bohinj,"333,7",5145,15,24,1994,Gorenjska,Gorenjska,Radovljica
Borovnica,"42,3",4579,108,12,1994,Notranjska,Osrednjeslovenska,Vrhnika
Bovec,"367,3",3073,8,14,1994,Primorska,Goriška,Tolmin
Braslovče,"54,8",5629,103,22,1998,Štajerska,Savinjska,Žalec
Brda,72,5619,78,45,1994,Primorska,Goriška,Nova Gorica
Brezovica,"91,1",12671,139,16,1994,Notranjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Brežice,"268,1",24051,90,109,1994,Štajerska,Spodnjeposavska,Brežice
Cankova,"30,6",1734,57,8,1998,Prekmurje,Pomurska,Cankova - Tišina
Celje,"94,9",49540,522,39,1994,Štajerska,Savinjska,Celje
Cerklje na Gorenjskem,78,7769,100,30,1994,Gorenjska,Gorenjska,Kranj
Cerknica,"241,3",11580,48,64,1994,Notranjska,Primorsko-notranjska,Cerknica
Cerkno,"131,6",4547,35,30,1994,Primorska,Goriška,Idrija
Cerkvenjak,23,2083,91,15,1998,Štajerska,Podravska,Lenart
Cirkulane,"32,1",2345,73,13,2006,Štajerska,Podravska,Gorišnica
Črenšovci,"33,6",3968,118,6,1994,Prekmurje,Pomurska,Lendava
Črna na Koroškem,"155,9",3285,21,9,1994,Koroška,Koroška,Ravne na Koroškem
Črnomelj,"339,7",14241,42,118,1994,Dolenjska,Jugovzhodna,Črnomelj
Destrnik,"34,3",2643,77,17,1994,Štajerska,Podravska,Ptuj
Divača,"147,7",4213,29,31,1994,Primorska,Obalno-kraška,Sežana
Dobje,"17,4",949,55,13,1998,Štajerska,Savinjska,Šentjur
Dobrepolje,"103,1",3878,38,24,1994,Dolenjska,Osrednjeslovenska,Grosuplje
Dobrna,"31,6",2234,71,11,1998,Štajerska,Savinjska,Vojnik
Dobrova - Polhov Gradec,"117,5",7800,66,33,1994,Gorenjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Dobrovnik,"31,1",1281,41,3,1998,Prekmurje,Pomurska,Lendava
Dol pri Ljubljani,"33,2",6310,190,19,1994,Gorenjska,Osrednjeslovenska,"LJ Bežigrad, LJ Moste - Polje"
Dolenjske Toplice,"110,2",3553,32,29,1998,Dolenjska,Jugovzhodna,Novo mesto
Domžale,"72,2",36675,508,51,1994,Gorenjska,Osrednjeslovenska,Domžale
Dornava,"28,4",2902,102,12,1994,Štajerska,Podravska,Ptuj
Dravograd,105,8884,85,24,1994,Koroška,Koroška,Dravograd
Duplek,40,6996,175,10,1994,Štajerska,Podravska,Maribor
Gorenja vas - Poljane,"153,2",7557,49,73,1994,Gorenjska,Gorenjska,Škofja Loka
