kraj;st_prebivalstva
Ajdovščina;19364
Ankaran/Ancarano;3215
Apače;3532
Beltinci;8098
Benedikt;2584
Bistrica ob Sotli;1333
Bled;7846
Bloke;1567
Bohinj;5118
Borovnica;4547
Bovec;3074
Braslovče;5584
Brda;5632
Brezovica;12527
Brežice;24157
Cankova;1724
Celje;49602
Cerklje na Gorenjskem;7712
Cerknica;11625
Cerkno;4577
Cerkvenjak;2080
Cirkulane;2362
Črenšovci;3958
Črna na Koroškem;3281
Črnomelj;14307
Destrnik;2617
Divača;4195
Dobje;965
Dobrepolje;3838
Dobrna;2240
Dobrova - Polhov Gradec;7752
Dobrovnik/Dobronak;1287
Dol pri Ljubljani;6295
Dolenjske Toplice;3525
Domžale;36429
Dornava;2894
Dravograd;8849
Duplek;6955
Gorenja vas - Poljane;7560
Gorišnica;4097
Gorje;2751
Gornja Radgona;8401
Gornji Grad;2506
Gornji Petrovci;1992
Grad;2063
Grosuplje;21265
Hajdina;3850
Hoče - Slivnica;11848
Hodoš/Hodos;358
Horjul;3032
Hrastnik;9140
Hrpelje - Kozina;4534
Idrija;11797
Ig;7577
Ilirska Bistrica;13290
Ivančna Gorica;16880
Izola/Isola;16367
Jesenice;21168
Jezersko;635
Juršinci;2367
Kamnik;29847
Kanal;5304
Kidričevo;6497
Kobarid;4078
Kobilje;545
Kočevje;15688
Komen;3546
Komenda;6345
Koper/Capodistria;52540
Kostanjevica na Krki;2445
Kostel;643
Kozje;3053
Kranj;56715
Kranjska Gora;5206
Križevci;3545
Krško;26117
Kungota;4734
Kuzma;1574
Laško;13023
Lenart;8443
Lendava/Lendva;10464
Litija;15429
Ljubljana;294113
Ljubno;2547
Ljutomer;11265
Log - Dragomer;3654
Logatec;14232
Loška dolina;3797
Loški Potok;1810
Lovrenc na Pohorju;2974
Luče;1452
Lukovica;5882
Majšperk;4067
Makole;2025
Maribor;112095
Markovci;4000
Medvode;16651
Mengeš;8150
Metlika;8397
Mežica;3559
Miklavž na Dravskem polju;6828
Miren - Kostanjevica;4976
Mirna;2622
Mirna Peč;2987
Mislinja;4561
Mokronog - Trebelno;3080
Moravče;5435
Moravske Toplice;5853
Mozirje;4133
Murska Sobota;18742
Muta;3407
Naklo;5402
Nazarje;2608
Nova Gorica;31932
Novo mesto;37280
Odranci;1644
Oplotnica;4130
Ormož;11968
Osilnica;366
Pesnica;7360
Piran/Pirano;17692
Pivka;6176
Podčetrtek;3434
Podlehnik;1790
Podvelka;2344
Poljčane;4459
Polzela;6224
Postojna;16363
Prebold;5125
Preddvor;3697
Prevalje;6812
Ptuj;23443
Puconci;5892
Rače - Fram;7433
Radeče;4169
Radenci;5107
Radlje ob Dravi;6183
Radovljica;19053
Ravne na Koroškem;11315
Razkrižje;1269
Rečica ob Savinji;2333
Renče - Vogrsko;4366
Ribnica;9513
Ribnica na Pohorju;1125
Rogaška Slatina;11129
Rogašovci;3070
Rogatec;3094
Ruše;7038
Selnica ob Dravi;4479
Semič;3838
Sevnica;17586
Sežana;13524
Slovenj Gradec;16599
Slovenska Bistrica;25690
Slovenske Konjice;14993
Sodražica;2191
Solčava;517
Središče ob Dravi;1951
Starše;4011
Straža;3912
Sveta Ana;2297
Sveta Trojica v Slov. goricah;2083
Sveti Andraž v Slov. goricah;1187
Sveti Jurij ob Ščavnici;2788
Sveti Jurij v Slov. goricah;2083
Sveti Tomaž;1998
Šalovci;1383
Šempeter - Vrtojba;6243
Šenčur;8756
Šentilj;8391
Šentjernej;7157
Šentjur;19186
Šentrupert;2978
Škocjan;3328
Škofja Loka;23216
Škofljica;11419
Šmarje pri Jelšah;10278
Šmarješke Toplice;3400
Šmartno ob Paki;3271
Šmartno pri Litiji;5629
Šoštanj;8735
Štore;4576
Tabor;1659
Tišina;3970
Tolmin;11031
Trbovlje;16037
Trebnje;13018
Trnovska vas;1350
Trzin;3923
Tržič;14884
Turnišče;3170
Velenje;33506
Velika Polana;1412
Velike Lašče;4383
Veržej;1290
Videm;5587
Vipava;5634
Vitanje;2256
Vodice;4964
Vojnik;8846
Vransko;2620
Vrhnika;17452
Vuzenica;2648
Zagorje ob Savi;16453
Zavrč;1533
Zreče;6505
Žalec;21425
Železniki;6699
Žetale;1297
Žiri;4915
Žirovnica;4384
Žužemberk;4648
